id,측정일시_x,작업유형_x,측정일시_y,작업유형_y,월,일,시간,요일,주말여부,sin_시간,cos_시간,계절,적용시점,시간대,요금단가,작업유형_encoded,작업유형_te,시간_te,요일_te,시간대_te,데이터셋,예측_전기요금
32064,2024-12-01 00:15:00,Light_Load,2024-12-01 00:15:00,Light_Load,12,1,0,6,1,0.0,1.0,겨울,after,경부하,117.3,0,1505.8431419740998,1257.6890080097212,2121.611257775991,987.2260640566778,test,726.195955808053
32065,2024-12-01 00:30:00,Light_Load,2024-12-01 00:30:00,Light_Load,12,1,0,6,1,0.0,1.0,겨울,after,경부하,117.3,0,1505.8431419740998,1257.6890080097212,2121.611257775991,987.2260640566778,test,726.1958507194763
32066,2024-12-01 00:45:00,Light_Load,2024-12-01 00:45:00,Light_Load,12,1,0,6,1,0.0,1.0,겨울,after,경부하,117.3,0,1505.8431419740998,1257.6890080097212,2121.611257775991,987.2260640566778,test,726.1950647204762
32067,2024-12-01 01:00:00,Light_Load,2024-12-01 01:00:00,Light_Load,12,1,1,6,1,0.25881904510252074,0.9659258262890683,겨울,after,경부하,117.3,0,1505.8431419740998,1013.7311900553835,2121.611257775991,987.2260640566778,test,659.0690735111805
32068,2024-12-01 01:15:00,Light_Load,2024-12-01 01:15:00,Light_Load,12,1,1,6,1,0.25881904510252074,0.9659258262890683,겨울,after,경부하,117.3,0,1505.8431419740998,1013.7311900553835,2121.611257775991,987.2260640566778,test,659.0686800963106
32069,2024-12-01 01:30:00,Light_Load,2024-12-01 01:30:00,Light_Load,12,1,1,6,1,0.25881904510252074,0.9659258262890683,겨울,after,경부하,117.3,0,1505.8431419740998,1013.7311900553835,2121.611257775991,987.2260640566778,test,659.0688535868051
32070,2024-12-01 01:45:00,Light_Load,2024-12-01 01:45:00,Light_Load,12,1,1,6,1,0.25881904510252074,0.9659258262890683,겨울,after,경부하,117.3,0,1505.8431419740998,1013.7311900553835,2121.611257775991,987.2260640566778,test,659.0692471711757
32071,2024-12-01 02:00:00,Light_Load,2024-12-01 02:00:00,Light_Load,12,1,2,6,1,0.49999999999999994,0.8660254037844387,겨울,after,경부하,117.3,0,1505.8431419740998,784.2551826870547,2121.611257775991,987.2260640566778,test,576.2726745884088
32072,2024-12-01 02:15:00,Light_Load,2024-12-01 02:15:00,Light_Load,12,1,2,6,1,0.49999999999999994,0.8660254037844387,겨울,after,경부하,117.3,0,1505.8431419740998,784.2551826870547,2121.611257775991,987.2260640566778,test,576.2722195572373
32073,2024-12-01 02:30:00,Light_Load,2024-12-01 02:30:00,Light_Load,12,1,2,6,1,0.49999999999999994,0.8660254037844387,겨울,after,경부하,117.3,0,1505.8431419740998,784.2551826870547,2121.611257775991,987.2260640566778,test,576.272210499194
32074,2024-12-01 02:45:00,Light_Load,2024-12-01 02:45:00,Light_Load,12,1,2,6,1,0.49999999999999994,0.8660254037844387,겨울,after,경부하,117.3,0,1505.8431419740998,784.2551826870547,2121.611257775991,987.2260640566778,test,576.2722028791127
32075,2024-12-01 03:00:00,Light_Load,2024-12-01 03:00:00,Light_Load,12,1,3,6,1,0.7071067811865476,0.7071067811865476,겨울,after,경부하,117.3,0,1505.8431419740998,777.7401121927286,2121.611257775991,987.2260640566778,test,571.4867071387605
32076,2024-12-01 03:15:00,Light_Load,2024-12-01 03:15:00,Light_Load,12,1,3,6,1,0.7071067811865476,0.7071067811865476,겨울,after,경부하,117.3,0,1505.8431419740998,777.7401121927286,2121.611257775991,987.2260640566778,test,571.4865807322101
32077,2024-12-01 03:30:00,Light_Load,2024-12-01 03:30:00,Light_Load,12,1,3,6,1,0.7071067811865476,0.7071067811865476,겨울,after,경부하,117.3,0,1505.8431419740998,777.7401121927286,2121.611257775991,987.2260640566778,test,571.4866445780979
32078,2024-12-01 03:45:00,Light_Load,2024-12-01 03:45:00,Light_Load,12,1,3,6,1,0.7071067811865476,0.7071067811865476,겨울,after,경부하,117.3,0,1505.8431419740998,777.7401121927286,2121.611257775991,987.2260640566778,test,571.4867587340311
32079,2024-12-01 04:00:00,Light_Load,2024-12-01 04:00:00,Light_Load,12,1,4,6,1,0.8660254037844386,0.5000000000000001,겨울,after,경부하,117.3,0,1505.8431419740998,773.0146101296724,2121.611257775991,987.2260640566778,test,571.8450478783407
